name,handle,root_category_name,second_category_name,third_category_name,website,metadata,rank,ispopular
Yeokoe,yeokoe,Beauty,Skin Care,Eyes,,,,
DUCLUS,duclus,Electronics,Accessories & Supplies,Camera & Photo Accessories,,,,
Seonggong,seonggong,Beauty,"Foot, Hand & Nail Care",Nail Art & Polish,,,,
Tnkcter,tnkcter,Electronics,Accessories & Supplies,Television Accessories,,,,
Critin,critin,Electronics,Video Game Consoles & Accessories,Nintendo DS,,,,
TKTK,tktk,Beauty,Skin Care,Face,,,,
Bio Seaweed Gel,bio-seaweed-gel,Beauty,"Foot, Hand & Nail Care",Nail Art & Polish,,,,
Felce Azzurra,felce-azzurra,Beauty,Fragrance,Dusting Powders,,,,
Naxa,naxa,Electronics,Television & Video,Home Theater Systems,,,,
Arkam,arkam,Beauty,Shave & Hair Removal,Men's,,,,
Defashun,defashun,Electronics,Accessories & Supplies,Computer Accessories,,,,
AOKO,aoko,Electronics,Accessories & Supplies,Computer Accessories,,,,
WD_BLACK,wd-black,Electronics,Computers & Accessories,Computer Components,,,,
TorSor,torsor,Beauty,Personal Care,Piercing & Tattoo Supplies,,,,
Pipishell,pipishell,Electronics,Accessories & Supplies,Audio & Video Accessories,,,,
ANDYCINE,andycine,Electronics,Camera & Photo,Video,,,,
Ouligay,ouligay,Beauty,Makeup,Makeup Palettes,,,,
CableWholesale,cablewholesale,Electronics,Accessories & Supplies,Cables,,,,
Jeemiter,jeemiter,Electronics,Accessories & Supplies,Vehicle Electronics Accessories,,,,
Subynanal,subynanal,Electronics,Accessories & Supplies,Audio & Video Accessories,,,,
GLS Audio,gls-audio,Electronics,Accessories & Supplies,Microphones,,,,
Gucci,gucci,Beauty,Fragrance,Women's,,,,
Dentemp,dentemp,Beauty,Oral Care,Oral Pain Relief,,,,
SuperNail,supernail,Beauty,"Foot, Hand & Nail Care",Nail Art & Polish,,,,
CMOCIIY,cmociiy,Electronics,Accessories & Supplies,Computer Accessories,,,,
9 O'CLOCK,9-o-clock,Beauty,Fragrance,Women's,,,,
Kasa Smart,kasa-smart,Electronics,Accessories & Supplies,Power Strips & Surge Protectors,,,,
MangePagar,mangepagar,Electronics,Portable Audio & Video,Radios,,,,
GOODAL,goodal,Beauty,Skin Care,Face,,,,
